,1d_pred,3d_pred,5d_pred,1d_pred_proba,3d_pred_proba,5d_pred_proba,1d_Range_pred,1d_Range_pred_proba,1d_actual,3d_actual,5d_actual,1d_Range_actual
0,1,1,1,0.8961041,0.989664,0.92293644,1,0.7655816,1,1,1,1
1,1,1,1,0.88057476,0.8737105,0.7426825,1,0.7217731,1,1,1,1
2,1,1,0,0.64178,0.9209178,0.36270285,1,0.7743196,1,0,0,0
3,0,0,0,0.44489995,0.3138796,0.32315138,1,0.6700674,0,0,0,0
4,1,1,0,0.7616755,0.553379,0.4266573,1,0.6043194,0,0,0,1
5,1,0,0,0.75972337,0.32393274,0.46007967,0,0.15743187,0,1,0,0
6,1,0,1,0.85539544,0.031714547,0.7388293,0,0.0560029,1,0,0,0
7,0,0,1,0.29258323,0.10612894,0.57659185,1,0.8683959,0,0,0,0
8,1,1,1,0.8519092,0.6013584,0.7413698,1,0.8461469,0,0,0,1
9,1,1,1,0.8806919,0.93822986,0.7882714,1,0.89286435,1,0,0,1
10,1,1,1,0.62296826,0.97473985,0.8898911,1,0.7678802,0,0,0,1
11,1,1,1,0.9557319,0.9989998,0.88708955,0,0.43289092,0,0,0,1
12,1,1,1,0.9793418,0.9995684,0.82478374,0,0.2541394,1,1,0,0
13,1,1,1,0.9313442,0.999137,0.8647058,0,0.0455961,1,0,0,0
14,1,1,1,0.85377765,0.947993,0.838041,1,0.7525472,0,0,0,1
15,1,1,1,0.9827816,0.93671995,0.8836261,0,0.45051572,0,0,0,1
16,1,1,1,0.9876989,0.9999479,0.88580024,1,0.5803402,0,0,0,0
17,1,1,1,0.98964417,0.99798834,0.9092607,1,0.59441435,0,0,0,1
18,1,1,1,0.95784795,0.9768842,0.915829,1,0.6160462,0,0,0,0
19,1,1,1,0.9638514,0.9996147,0.94237274,0,0.098047584,1,0,0,0
20,1,1,1,0.90467596,0.99892247,0.9252299,0,0.119971104,0,0,0,0
21,1,1,1,0.96760625,0.9995741,0.95803946,1,0.8050971,0,0,0,1
22,1,1,1,0.88805705,0.99000424,0.9536151,1,0.9564623,1,1,1,1
23,1,1,1,0.7681027,0.9984877,0.9036564,1,0.69778645,0,0,1,0
24,1,1,1,0.9600587,0.9991942,0.9439045,1,0.86141133,1,1,1,0
25,1,1,1,0.8743902,0.94584996,0.79564214,1,0.60639036,0,1,1,1
26,1,1,1,0.935735,0.9992317,0.90771693,0,0.09692519,1,1,0,0
27,1,1,1,0.84860265,0.99010754,0.79762125,0,0.07251029,1,1,0,1
28,1,0,0,0.8053154,0.13864668,0.41523683,0,0.3912143,1,0,0,0
29,1,0,1,0.8593332,0.17789385,0.61917216,0,0.30941245,0,0,0,0
30,1,1,1,0.8839802,0.6399631,0.7895861,1,0.5343991,0,0,0,1
31,1,1,1,0.9092698,0.8755065,0.91373706,0,0.47960046,0,0,0,1
32,1,1,1,0.87290335,0.9839498,0.8789683,1,0.7069564,0,0,1,1
33,1,1,1,0.9685162,0.8176692,0.8396286,0,0.45252138,1,1,1,1
34,1,1,1,0.9314396,0.99093926,0.8136904,0,0.4011777,0,0,0,1
35,1,1,1,0.87567097,0.9990268,0.9167012,1,0.8182647,1,1,1,1
36,1,1,1,0.8802481,0.9845041,0.8960305,1,0.60976493,1,1,1,0
37,1,0,1,0.5484325,0.21423942,0.82859945,0,0.49484918,0,0,1,0
38,1,0,1,0.90432274,0.44034067,0.81062967,0,0.33565822,0,1,1,0
