,1d_pred,3d_pred,5d_pred,1d_pred_proba,3d_pred_proba,5d_pred_proba,1d_Range_pred,1d_Range_pred_proba,1d_actual,3d_actual,5d_actual,1d_Range_actual
0,1,1,1,0.9812563,0.8491526,0.9874263,1,0.7014032,1,1,1,1
1,1,1,1,0.9551543,0.6722016,0.78729963,1,0.66950685,1,1,1,1
2,0,0,0,0.44338235,0.41099915,0.15732267,1,0.7063628,1,0,0,0
3,0,0,0,0.11611951,0.28239366,0.020508483,1,0.5847112,0,0,0,0
4,1,0,0,0.8710244,0.22264038,0.04431737,1,0.5965906,0,0,0,1
5,1,0,0,0.72049546,0.35983992,0.06503472,0,0.108809516,0,1,0,0
6,1,0,1,0.964976,0.43359518,0.5968581,0,0.0639076,1,0,0,0
7,1,0,0,0.692246,0.43548408,0.36267596,1,0.80309826,0,0,0,0
8,1,1,1,0.98081964,0.6727587,0.86153203,1,0.73943514,0,0,0,1
9,1,1,1,0.9332611,0.7993932,0.9789169,1,0.8370245,1,0,0,1
10,1,1,1,0.5846321,0.7948459,0.93582064,1,0.59982336,0,0,0,1
11,1,1,1,0.9963983,0.86795086,0.9971764,1,0.61104137,0,0,0,1
12,1,1,1,0.9984378,0.9266064,0.99646145,0,0.13781217,1,1,0,0
13,1,1,1,0.89777553,0.9202219,0.99396086,0,0.032062683,1,0,0,0
14,1,1,1,0.83807236,0.90056926,0.93979675,1,0.81862104,0,0,0,1
15,1,1,1,0.99364763,0.83148813,0.9509484,1,0.60789716,0,0,0,1
16,1,1,1,0.99834085,0.9303596,0.99478585,1,0.5493347,0,0,0,0
17,1,1,1,0.9973699,0.93226403,0.9954366,1,0.6050822,0,0,0,1
18,1,1,1,0.916196,0.8407034,0.9970696,1,0.5107111,0,0,0,0
19,1,1,1,0.9862389,0.8339518,0.9992124,0,0.055682387,1,0,0,0
20,1,1,1,0.91326046,0.8969816,0.9978764,0,0.06570701,0,0,0,0
21,1,1,1,0.990906,0.93142694,0.9995894,1,0.7893163,0,0,0,1
22,1,1,1,0.96564215,0.9314289,0.9987722,1,0.8849241,1,1,1,1
23,1,1,1,0.90171397,0.80867755,0.93066466,1,0.7054728,0,0,1,0
24,1,1,1,0.99565876,0.9529247,0.9982907,1,0.73100686,1,1,1,0
25,1,1,1,0.8680556,0.85734296,0.9212563,1,0.65143955,0,1,1,1
26,1,1,1,0.97089785,0.9347208,0.99873596,0,0.06843665,1,1,0,0
27,1,1,1,0.90173286,0.8806734,0.9863988,0,0.10281368,1,1,0,1
28,1,0,1,0.67009455,0.33171365,0.64593065,0,0.4431205,1,0,0,0
29,1,0,0,0.5317032,0.30413178,0.48208696,0,0.41042432,0,0,0,0
30,1,0,1,0.9548191,0.44345915,0.982897,0,0.41760114,0,0,0,1
31,1,1,1,0.95137227,0.67646384,0.99919575,0,0.25181186,0,0,0,1
32,1,1,1,0.97725815,0.8203262,0.9994772,1,0.6866674,0,0,1,1
33,1,1,1,0.95522064,0.7085777,0.9759694,0,0.305147,1,1,1,1
34,1,1,1,0.95244104,0.7978592,0.98442,0,0.28240147,0,0,0,1
35,1,1,1,0.82223594,0.9167608,0.9990928,1,0.6403109,1,1,1,1
36,1,1,1,0.9492412,0.88609236,0.9922881,1,0.7446457,1,1,1,0
37,0,1,1,0.44146535,0.71023184,0.9641213,1,0.55250204,0,0,1,0
38,1,1,1,0.9398951,0.63786024,0.9095369,0,0.39713553,0,1,1,0
39,1,1,1,0.9672057,0.63339317,0.95196325,0,0.14940046,1,1,1,0
40,1,0,1,0.8336806,0.4349306,0.75715876,0,0.024868732,1,1,1,0
41,0,0,1,0.19719645,0.42833698,0.7966335,0,0.023286376,1,1,1,0
42,1,0,1,0.78034663,0.3495856,0.79687446,0,0.18466988,1,1,1,1
43,0,0,0,0.20417611,0.3220902,0.3678404,0,0.4729565,1,0,1,0
44,0,0,1,0.10446287,0.30479103,0.7312707,1,0.6771724,0,1,1,0
45,0,0,0,0.21592821,0.47264844,0.36219478,0,0.19057974,0,1,1,0
46,0,0,1,0.49573642,0.4527711,0.78747535,1,0.512238,1,1,1,1
47,0,0,0,0.20879632,0.32354307,0.23958224,0,0.040104672,1,1,0,0
48,0,0,1,0.13724564,0.37996083,0.64569813,0,0.025333371,1,0,0,0
49,0,1,1,0.03620496,0.5556161,0.56342715,0,0.34336472,0,0,0,0
50,0,1,1,0.25331616,0.5701754,0.81281424,0,0.3326664,0,0,1,0
51,0,1,1,0.24528031,0.7335001,0.80842465,1,0.81938887,0,1,1,0
52,1,1,1,0.98996603,0.7673577,0.9936093,1,0.58578694,1,1,1,1
53,0,1,1,0.44520646,0.6802971,0.97058165,1,0.6697191,1,1,1,0
54,0,0,1,0.15253079,0.44776687,0.83654255,0,0.02808529,0,0,0,1
55,0,0,1,0.057622273,0.3706668,0.8310633,0,0.027218126,1,0,0,0
56,0,1,1,0.11949388,0.52426875,0.7901086,0,0.24104276,0,0,0,1
57,0,1,1,0.14788638,0.7502597,0.93764144,0,0.13738188,0,0,0,0
58,1,1,1,0.9295378,0.61098295,0.9881351,0,0.47240403,0,0,0,0
59,1,1,1,0.99800676,0.64048445,0.9962076,1,0.5714711,1,0,0,1
60,0,1,0,0.1205031,0.5931045,0.30549413,1,0.5868494,0,0,0,1
61,1,1,1,0.96836823,0.92140496,0.9745892,0,0.214096,0,0,0,1
62,1,1,1,0.9918011,0.93879515,0.98634714,0,0.20111318,0,0,1,1
63,1,1,1,0.99780005,0.9566998,0.9987839,1,0.9302009,0,0,1,1
64,1,1,1,0.99086493,0.8206649,0.98676366,1,0.9011889,1,1,1,1
65,1,1,1,0.7311409,0.78959036,0.94631964,1,0.8418798,0,1,1,1
66,1,1,1,0.9852127,0.90313554,0.99662006,1,0.8613186,1,1,1,1
67,0,1,1,0.047204923,0.8262041,0.960983,0,0.42063278,0,0,0,0
68,1,1,1,0.5132539,0.8609159,0.98158664,0,0.066932015,1,0,0,0
69,0,1,1,0.035563473,0.583567,0.97671825,0,0.042103447,0,0,0,0
70,1,1,1,0.9627911,0.82644635,0.98113084,1,0.6662454,1,1,1,0
71,0,1,1,0.40928206,0.66747,0.94043505,0,0.1829188,1,0,1,0
72,1,0,0,0.6292096,0.46106416,0.2457997,0,0.12108673,0,0,0,0
73,1,1,1,0.9979226,0.642968,0.9855541,0,0.12745474,0,1,1,0
74,1,1,1,0.9880633,0.7485113,0.72394836,0,0.15838055,1,1,1,0
75,1,1,1,0.78753316,0.733532,0.70217466,0,0.07540531,1,1,1,0
76,0,1,1,0.17459103,0.6260686,0.9713867,0,0.027391912,0,0,1,0
77,1,1,1,0.97469985,0.74571013,0.9898254,0,0.2931144,1,1,1,0
78,0,1,1,0.1750934,0.63009554,0.8279,1,0.5581109,0,1,1,0
79,1,1,1,0.5984834,0.71108884,0.8395979,0,0.37969267,1,1,1,1
80,0,0,1,0.44665015,0.44097975,0.73380744,0,0.30903322,0,1,1,0
81,1,1,1,0.8220813,0.5395713,0.9680922,1,0.67099535,1,1,0,1
82,1,1,1,0.89158994,0.5286728,0.73744076,0,0.029216826,1,0,0,0
83,0,1,1,0.14044239,0.56602967,0.62649983,0,0.0285478,1,0,0,0
84,0,0,1,0.08566651,0.41193962,0.59601504,1,0.6656519,0,0,0,0
85,1,1,1,0.77159524,0.67960906,0.95190364,1,0.8070865,0,0,0,1
86,1,1,1,0.9807966,0.6525857,0.99243695,1,0.6432805,0,0,0,0
87,1,1,1,0.98574346,0.66060305,0.8789462,1,0.5777136,1,0,1,0
88,1,1,1,0.829331,0.85338914,0.97994095,1,0.5005807,0,0,0,0
89,1,1,1,0.98187286,0.8522469,0.93873477,0,0.05759175,0,0,0,0
90,1,1,1,0.93282926,0.86228406,0.9298404,0,0.04964853,0,0,0,0
91,1,1,1,0.9812096,0.9323521,0.99208343,1,0.77681756,1,1,0,1
92,0,1,1,0.13617025,0.75004166,0.8302172,1,0.69851005,0,0,0,1
93,1,1,1,0.93777204,0.7165666,0.90978384,1,0.5612305,1,0,0,1
94,0,1,1,0.42848426,0.5920323,0.74011546,0,0.42119664,0,0,0,1
95,1,1,1,0.99889344,0.855277,0.9931727,0,0.42741704,0,0,1,1
96,1,1,1,0.99892455,0.8709839,0.99597883,0,0.17770915,1,1,1,0
97,1,1,1,0.92882925,0.78540105,0.9933348,0,0.12492212,1,1,1,0
98,1,1,1,0.6609991,0.9247924,0.99196786,1,0.50466406,1,1,1,1
99,1,1,1,0.6563059,0.8265481,0.97345924,0,0.4731192,1,1,1,0
100,0,1,1,0.491301,0.6929664,0.57319146,0,0.19168383,0,1,1,1
101,1,1,1,0.5900839,0.55488765,0.83202505,0,0.29499757,1,1,1,0
102,0,0,0,0.04386013,0.3765634,0.12716821,0,0.14966732,1,1,1,1
103,0,1,1,0.21329054,0.52657604,0.5210588,0,0.11542491,0,0,1,0
104,0,1,1,0.083204545,0.5429917,0.88988024,0,0.09714781,0,1,1,0
105,0,0,1,0.44359028,0.47163332,0.9824734,1,0.5088802,0,1,1,0
106,0,1,1,0.40219143,0.62260157,0.9922099,0,0.2477378,1,1,1,1
107,0,1,1,0.009290107,0.60340303,0.9264907,0,0.31860816,1,1,1,0
108,1,1,1,0.53267795,0.77039784,0.7363099,0,0.1890409,1,1,1,0
109,0,1,1,0.48746172,0.7278178,0.6789008,0,0.2724274,1,1,1,0
110,0,1,1,0.28554755,0.7630631,0.93400663,0,0.04954694,1,1,0,0
111,1,1,1,0.5434697,0.8248701,0.9621362,0,0.12913944,1,1,1,0
112,0,1,1,0.23183833,0.6268966,0.8291159,1,0.9416131,0,0,1,0
113,1,0,1,0.6399753,0.4424023,0.7198354,1,0.72285956,1,1,1,0
114,0,0,0,0.25482798,0.37056556,0.14083467,1,0.71904343,0,1,1,0
115,0,1,1,0.29724458,0.6188634,0.9865392,0,0.42205852,1,1,1,1
116,0,0,0,0.08041034,0.4117856,0.321148,0,0.33745795,1,1,0,0
117,0,0,0,0.03126857,0.45224014,0.1911033,0,0.017445281,1,0,0,0
